station_id,station_name,drainage_division,river_region,notes,lat_outlet,long_outlet,lat_centroid,long_centroid,map_zone,catchment_area,state_outlet,state_alt,daystart,daystart_P,daystart_Q,nested_status,next_station_ds,num_nested_within,start_date,end_date,prop_missing_data,q_uncert_num_curves,q_uncert_n,q_uncert_q10,q_uncert_q10_upper,q_uncert_q10_lower,q_uncert_q50,q_uncert_q50_upper,q_uncert_q50_lower,q_uncert_q90,q_uncert_q90_upper,q_uncert_q90_lower,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,q_mean,runoff_ratio,stream_elas,slope_fdc,baseflow_index,hdf_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,geol_prim,geol_prim_prop,geol_sec,geol_sec_prop,unconsoldted,igneous,silicsed,carbnatesed,othersed,metamorph,sedvolc,oldrock,claya,clayb,sanda,solum_thickness,ksat,solpawhc,elev_min,elev_max,elev_mean,elev_range,mean_slope_pct,upsdist,strdensity,strahler,elongratio,relief,reliefratio,mrvbf_prop_0,mrvbf_prop_1,mrvbf_prop_2,mrvbf_prop_3,mrvbf_prop_4,mrvbf_prop_5,mrvbf_prop_6,mrvbf_prop_7,mrvbf_prop_8,mrvbf_prop_9,confinement,lc01_extracti,lc03_waterbo,lc04_saltlak,lc05_irrcrop,lc06_irrpast,lc07_irrsuga,lc08_rfcropp,lc09_rfpastu,lc10_rfsugar,lc11_wetlands,lc14_tussclo,lc15_alpineg,lc16_openhum,lc18_opentus,lc19_shrbsca,lc24_shrbden,lc25_shrbope,lc31_forclos,lc32_foropen,lc33_woodope,lc34_woodspa,lc35_urbanar,prop_forested,nvis_grasses_n,nvis_grasses_e,nvis_forests_n,nvis_forests_e,nvis_shrubs_n,nvis_shrubs_e,nvis_woodlands_n,nvis_woodlands_e,nvis_bare_n,nvis_bare_e,nvis_nodata_n,nvis_nodata_e,distupdamw,impound_fac,flow_div_fac,leveebank_fac,infrastruc_fac,settlement_fac,extract_ind_fac,landuse_fac,catchment_di,flow_regime_di,river_di,pop_mean,pop_max,pop_gt_1,pop_gt_10,erosivity,anngro_mega,anngro_meso,anngro_micro,gromega_seas,gromeso_seas,gromicro_seas,npp_ann,npp_1,npp_2,npp_3,npp_4,npp_5,npp_6,npp_7,npp_8,npp_9,npp_10,npp_11,npp_12
912101A,Gregory River at Gregory Downs (912101A),Carpentaria Coast,NICHOLSON-LEICHHARDT RIVERS,No notes,-18.643611,139.253056,-19.303638,138.55321,54,12577.3,QLD,NT,1400,2300,2300,Not nested,n/a,1,19691213,20141231,0.0068064418109997,3,15226,0.015121926,25.07%,-21.06%,0.027200472,20.06%,-17.82%,0.12167039,18.46%,-15.13%,1.243932,5.072041,4.077426,1.278618,0,20.280244,1.690031,djf,309.820448,13.244507,jja,0.154612,0.109785,1.920304,0.366793,0.338635,267.521739,0.326034,0.013341,21.767943,4.821782,199.911965,31.167247,0,CARBNATESED,0.432857056,UNCONSOLDTED,0.324221878,0.324221878,0.001925318,0.227250042,0.432857056,0,0.013739898,0,0.167939796,28.8305187,44.271431,46.3311691,0.858099127,79.177887,89.2282028,70,431.7244568,233.2220917,361.7244568,3.06,269.3435974,0.66543,6,0.469806,0.4670957,0.001383,0.3174,0.0249,0.1087,0.2296,0.0737,0.0697,0.0853,0.0628,0.0279,0,0.21,0,0,0,8e-05,0,0,0,3e-05,0,0.00015,0.03416,0,0.13584,0.16111,0.23637,0.16403,0.0072,0.00015,0.00772,0.20666,0.04651,0,0.26104,28.0600166,28.0600166,0,0,0,0,71.9396057,71.9396057,0,0,0,0,269.3435974,0,0,0,0.0203297,0.01198,0,0.4980066,0.0819426,0.1163485,0.0991456,0.0085575,8.2571363,9.74e-05,0,2468.867676,0.1537161,0.046646,0.0002959,111.4834976,77.9302368,256.5705872,0.4173642,0.0610432,0.0669529,0.0792206,0.0284709,0.0335198,0.0224592,0.0167781,0.0024052,0.0048442,0.0169386,0.0356415,0.0468751
912105A,Gregory River at Riversleigh No. 2 (912105A),Carpentaria Coast,NICHOLSON-LEICHHARDT RIVERS,No notes,-18.970833,138.803333,-19.333672,138.508911,54,11392.9,QLD,NT,1400,2300,2300,Level 1,912101A,0,19680503,20141231,0.090178361886881,1,15232,0.016571549,196.84%,-93.24%,0.031968682,129.72%,-77.38%,0.16138402,49.79%,-40.02%,1.231055,5.056296,4.107287,1.275417,0,20.383047,1.668707,djf,310.93259,13.366814,jja,0.17882,0.130851,1.757995,0.329998,0.370504,261.666667,0.536147,0.014485,26.521668,4.917031,207.580335,31.701439,0,CARBNATESED,0.482798653,UNCONSOLDTED,0.324657249,0.324657249,0.001264019,0.180521584,0.482798653,0,0.010757082,0,0.109456797,30,21,40,0.900129464,80.557045,90.6421661,118,431.7244568,240.4781799,313.7244568,2.74,179.650116,0.6469866,6,0.668421,0.3863132,0.0017347,0.3086,0.0226,0.1078,0.231,0.0724,0.0699,0.0905,0.0664,0.0308,0,1,0,0,0,0,0,0,0,0,0,2e-05,0.03615,0,0.14695,0.15955,0.24218,0.17369,0.0079,0.00012,0.00528,0.19401,0.03418,0,0.23359,29.5168285,29.5168285,0,0,0,0,70.4830017,70.4830017,0,0,0,0,179.650116,0,0,0,0,0,0,0.2857143,0.0815911,0.13273,0.1071606,0.0073638,0.0169151,0,0,2413.231445,0.15267,0.0467071,0.0003193,110.7756958,76.674614,255.3917694,0.3994477,0.0578269,0.0638419,0.0760319,0.0273157,0.032327,0.0218441,0.0172433,0.0024051,0.0047555,0.016132,0.0334098,0.0442256
915011A,Porcupine Creek at Mt Emu Plains (915011A),Carpentaria Coast,FLINDERS-NORMAN RIVERS,No notes,-20.1775,144.524444,-20.054245,144.483641,55,565.3,QLD,n/a,1400,2300,2300,Not nested,n/a,0,19710923,20141231,0.0417562950778185,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.923706,4.771883,2.480568,1.131817,0,22.009205,1.792237,djf,297.082212,11.328582,jja,0.167457,0.079133,2.01596,0.017854,0.134091,266.818182,0.472282,0,111.123201,21.838863,313.595075,58.053571,0.474845,IGNEOUS,0.893705521,UNCONSOLDTED,0.105490389,0.105490389,0.893705521,0.000803895,0,0,0,0,0,62,62,22,1.094932365,251.40979,143.9691162,739,984.9511108,839.4358521,245.9511108,2.64,40.9566727,0.5945756,4,0.6481152,0.4177395,0.0061019,0.333,0.0182,0.1305,0.2167,0.103,0.1314,0.0671,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.00065,0.06195,0,0.00025,0.43122,0.04065,0.00288,0.0001,0,0.01009,0.06023,0.39195,0,0.46227,0,0,0,0,0,0,100,100,0,0,0,0,40.9566727,0,0,0,0,0,0,0.35,0.213224,0.0006825,0.1069532,0.0062714,0.0100792,0,0,3736.781006,0.2154093,0.2257169,0.0166649,110.185585,82.194603,191.9621582,1.8804377,0.2383243,0.2280477,0.2282447,0.1782295,0.1928253,0.1370597,0.123925,0.0845742,0.0372681,0.100204,0.1539555,0.1725255
917107A,Elizabeth Creek at Mount Surprise (917107A),Carpentaria Coast,FLINDERS-NORMAN RIVERS,Uncertain catchment boundary.  The SRTM-derived boundary is 13.1% smaller than the BOM published value.,-18.133611,144.306667,-18.152298,144.52435,55,458.3,QLD,n/a,1400,2300,2300,Not nested,n/a,0,19680724,20141231,0.0165074873246079,2,15772,0.001552001,143.47%,-66.93%,0.03607746,51.70%,-37.00%,0.371123936,26.85%,-22.30%,2.017088,4.93346,2.445833,1.307546,0,22.083971,1.799695,djf,290.689729,11.562825,jja,0.293126,0.137963,2.033157,0.500234,0.315772,268.957447,1.051195,0.000755,38.294104,9.303191,233.464857,45.961207,0.026136,IGNEOUS,0.796173782,UNCONSOLDTED,0.173123436,0.173123436,0.796173782,0,0,0,0.030704587,0,0.030704587,48.7550392,51.0100746,27.1353912,1.04945934,250.5253754,141.717392,438,986.6960449,628.3557129,548.6960449,3.67,74.6605682,0.4330365,4,0.3494423,0.3659891,0.0075702,0.3324,0.0301,0.1143,0.1898,0.1528,0.1511,0.0296,0,0,0,0.5,0.0007,0,0,0,0,0,0,0,0,0.01786,0.16311,0,0,0.08704,0.00138,4e-05,0,0.00213,0.08748,0.00314,0.63708,0,0.72983,6.7225671,6.7225671,0,0,0,0,93.2775345,93.2775345,0,0,0,0,74.6605682,0,0,0,0.1122807,0.0227785,0.2,0.4192844,0.1512811,0,0.0756405,0.022853,0.0232633,0,0,4907.553223,0.3284997,0.3147348,0.0030206,101.2598877,93.935585,219.2057037,1.6885376,0.2376214,0.2382899,0.2550976,0.1690871,0.1633915,0.0747363,0.0643032,0.034086,0.0148663,0.0740195,0.1546622,0.2014484
919003A,Mitchell River at O.K. Bridge (919003A),Carpentaria Coast,MITCHELL-COLEMAN RIVERS (QLD),No notes,-16.471389,144.290556,-16.646693,144.878729,55,7731.7,QLD,n/a,1400,2300,2300,Not nested,n/a,0,19671002,20141231,0.0497160737049484,1,14933,0.004730991,21.65%,-18.16%,0.053229432,15.45%,-13.59%,1.273285306,n/a,n/a,2.565563,4.981105,1.941525,1.236093,0,19.962489,1.796468,djf,255.362852,8.076855,jja,0.666621,0.253955,2.247237,0.374751,0.322553,282.479167,3.050206,0.00143,62.42657,10.657795,252.245213,42.578947,0.023537,SILICSED,0.677353134,IGNEOUS,0.162287674,0.130245399,0.162287674,0.677353134,0,0.010951728,0.014849797,0.004309112,0,21,21,52,0.558830374,60.7118225,93.0826111,183,1355.225342,460.9828186,1172.225342,13.45,230.6200714,1.0064111,7,0.4310062,0.2427166,0.0051204,0.602,0.0737,0.1225,0.1412,0.0279,0.0238,0.0089,0,0,0,1,0.0002,0.00301,0,0.00314,0.00056,0.0006,0,0.00501,0.0005,0.00923,0.18367,0,1e-05,0.06085,0.00132,1e-05,0,0.06796,0.15731,0.00144,0.5051,0,0.73181,0.4772463,0.0007163,7.7133389,7.5909233,0,0,91.8095169,91.0238953,0,0,0,0.0009539,217.7137604,0,0,0,0,0.04,0,0.05,0.0547003,0.1464106,0.1005554,0.2126777,90.0679474,0.0224409,0.0002672,5939.917969,0.3572324,0.3626105,0.00645,93.9349899,84.4453354,249.2184296,2.0964947,0.2695913,0.2632924,0.3224163,0.2277652,0.1896659,0.1043632,0.0925048,0.0630879,0.0365254,0.0982787,0.1845308,0.2380281
919201A,Palmer River at Goldfields (919201A),Carpentaria Coast,MITCHELL-COLEMAN RIVERS (QLD),No notes,-16.108056,144.778611,-16.228924,144.875571,55,531.7,QLD,n/a,1400,2300,2300,Not nested,n/a,0,19671213,20141231,0.0757593389968579,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.884422,4.770515,1.228114,0.981797,0,18.551283,1.73514,djf,221.419144,6.10304,jja,0.86445,0.213537,2.317436,0.316827,0.252676,282.208333,3.955893,0,78.113463,11.323333,264.164694,40.167832,0.167968,SILICSED,0.496852303,IGNEOUS,0.358334198,0.012789507,0.358334198,0.496852303,0,0,0.132025404,0,0,21,21,52,0.577757281,85.1729889,108.6310043,403,1346.674805,711.9296265,943.674805,18.04,53.4948845,1.0204698,5,0.4879226,0.3335184,0.0178032,0.7205,0.1017,0.1199,0.0579,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00881,0.01047,0,0,0.00022,3e-05,0,0,0.0776,0.53212,0,0.3707,0,0.98042,0.0901212,0,21.5836563,21.5836563,0,0,78.3263626,78.3194275,0,0,0,0,53.4948845,0,0,0,0.3,0.1,0,0.2,0.0327842,0,0.0163921,0.0213393,0.0592329,0,0,8500.317383,0.3588731,0.5123002,0.0394574,80.9048462,60.3739777,184.3799896,2.7376273,0.2953403,0.2794382,0.3488637,0.314306,0.290487,0.1691772,0.154435,0.0995435,0.0706319,0.1562735,0.2549774,0.2997459
919309A,Walsh River at Trimbles Crossing (919309A),Carpentaria Coast,MITCHELL-COLEMAN RIVERS (QLD),No notes,-16.545278,143.784722,-17.061799,144.597471,55,8656.4,QLD,n/a,1400,2300,2300,Not nested,n/a,0,19670911,20141231,0.0918455929162567,1,13381,2.29519E-05,201399.85%,-100%,0.020639758,380.58%,n/a,1.454854212,19.91%,-18.49%,2.253322,5.054844,2.243285,1.359171,0,22.485837,1.744743,djf,277.671121,10.683567,jja,0.512423,0.208846,1.893988,0.35231,0.327042,271.104167,2.914664,0,99.575548,23.899441,258.877804,59.475936,0.176651,IGNEOUS,0.532112045,SILICSED,0.17299902,0.154676199,0.532112045,0.17299902,0,0.08528595,0.054930992,0,0.058285437,20.0952377,41.0476189,66.7619095,0.716284962,107.9887009,104.8106537,124,1290.396118,442.6983337,1166.396118,9.97,317.3601379,0.9574822,6,0.3310286,0.2770623,0.0036948,0.521,0.056,0.1233,0.1843,0.0388,0.0304,0.0201,0.0259,0,0,0,0.0005,5e-05,0,0.00932,0.00061,0.0009,0.00033,0.00251,0,0.01096,0.17995,0,0,0.02699,0.00081,0,0,0.00798,0.20823,0.00661,0.54406,0.0001,0.76688,0.1227788,0,2.3937175,2.3937175,0,0,97.4835434,97.4805679,0,0,0,0,294.3729553,0,0,0,0.0777778,0.0112676,0,0.05,0.0649166,0.200487,0.1327018,0.257625,153.6417999,0.0726726,0.0007756,5770.325195,0.3543075,0.3071399,0.0037788,98.0485153,92.5238113,208.1700897,1.6612238,0.2340619,0.2336056,0.2804751,0.1843629,0.1385116,0.0736593,0.0408419,0.0286743,0.0188455,0.0741155,0.1476654,0.199085
922101B,Coen river at Racecourse (922101B),Carpentaria Coast,ARCHER-WATSON RIVERS,No notes,-13.956389,143.175,-13.886048,143.24834,54,171.2,QLD,n/a,1400,2300,2300,Not nested,n/a,0,19671002,20141231,0.056321705875536,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.580809,4.933717,1.377822,1.142343,0,22.644715,1.52678,djf,273.605726,8.961126,jja,1.879721,0.48724,1.662853,0.805045,0.376221,260.958333,8.47354,0,64.859573,11.385827,215.929449,49.374359,0.131401,IGNEOUS,0.905953369,METAMORPH,0.076808496,0,0.905953369,0,0,0.017238364,0.076808496,0,0.076808496,18,54,68,1.015787712,96.575882,125.6002655,185,796.7037964,447.7018127,611.7037964,12.51,33.3177338,1.0561041,4,0.4425848,0.4302716,0.0183859,0.6292,0.102,0.1492,0.1151,0.0042,0.0002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00595,0.00789,0,0,0,0,0,0,0.61738,0.36693,0,0.00185,0,0.98616,0,0,54.1362534,54.1362534,0,0,45.8637543,44.1839714,0,0,0,0,33.3177338,0,0,0,0.25,0.25,0,0.2875,0.1213703,0,0.0606851,1.4582943,17.1331005,0.0847793,0.0847793,10727.37207,0.427746,0.3842142,2.68e-05,84.4290848,83.3783112,160.9443665,4.2886081,0.7248397,0.6488868,0.7162983,0.531903,0.2423261,0.0912018,0.0647663,0.0498077,0.0270959,0.1342572,0.3706206,0.6653011
925001A,Wenlock river at Moreton (925001A),Carpentaria Coast,WENLOCK RIVER,No notes,-12.454444,142.637778,-12.870063,142.871973,54,3302.1,QLD,n/a,1400,2300,2300,Not nested,n/a,0,19580420,20141231,0.0572670207629165,1,18556,0.023729899,18.15%,-15.85%,0.10156567,13.15%,-11.90%,3.614442325,6.09%,-5.81%,3.779776,5.087612,1.346009,1.15608,0,21.925093,1.5,djf,246.110575,7.399269,jja,1.137795,0.298882,2.087367,0.58369,0.457399,274.839286,6.50859,0.019214,84.933159,31.971831,233.023663,89.611511,0,SILICSED,0.62312252,UNCONSOLDTED,0.250880013,0.250880013,0.104260902,0.62312252,0,0.000553572,0.021182821,0,0.021182821,19.030302,38.7878799,64.8484879,1.190109987,189.3210144,171.05159,47,644.2005615,131.2482147,597.2005615,4.3,177.9368744,0.8560874,6,0.3645473,0.1672361,0.0034617,0.3509,0.0302,0.1155,0.2046,0.0845,0.0807,0.0665,0.0672,0,0,0.1,0,0,0,0,0,0,0,0,0,0.00823,0.09114,0,0,0,2e-05,0,0,0.40799,0.47542,0,0.01717,0,0.90058,0.4032503,0.4032503,6.6263595,6.6189499,2.6926942,2.6898401,90.277626,90.0656357,0,0,0,0,177.9368744,0,0,0,0.1290323,0.0685714,0,0.1215179,0.0469561,0,0.023478,0.0053563,0.0064146,0,0,11873.17871,0.4755144,0.3331639,0,79.3074875,81.3791885,1.1932696,2.8554606,0.3827091,0.3477453,0.4148695,0.3952433,0.2606961,0.1347774,0.0747356,0.0651293,0.0244256,0.1133227,0.2662348,0.365714
926002A,Dulhunty River at Dougs Pad (926002A),Carpentaria Coast,DUCIE RIVER,No notes,-11.831667,142.42,-11.816876,142.566349,54,330.2,QLD,n/a,1400,2300,2300,Not nested,n/a,0,19701120,20141231,0.0494631663873891,2,14283,0.242640884,31.48%,-27.03%,0.764055118,17.78%,-16.24%,4.861629316,8.00%,-7.63%,4.027589,5.071952,1.259302,1.261967,0,22.719481,1.514642,djf,253.568471,6.633741,jja,1.861927,0.407825,1.444232,1.508205,0.653951,217.488889,6.900848,0.174427,18.577288,4.143617,83.562027,21.9,0.018347,SILICSED,1,UNCONSOLDTED,0,0,0,1,0,0,0,0,0,19,39,65,1.051716262,152.5892029,196.1075897,40,148.9703674,80.1591492,108.9703674,2.93,36.8639297,0.8139135,4,0.5628656,0.4376353,0.0033192,0.4035,0.0169,0.17,0.3654,0.0304,0.0082,0.0054,0.0002,0,0,0.57,0,0,0,0,0,0,0,0,0,0.00085,0.01148,0,0.00026,9e-05,0.00034,0.00015,2e-05,0.54091,0.43887,5e-05,0.00695,0,0.98678,0.726843,0.726843,3.8980973,3.8980973,5.871449,5.871449,89.503685,86.7908707,0,0,0,0,36.8639297,0,0,0,0,0.0112676,0,0.0084507,0.0191495,0,0.0095747,0.0043727,0.0043727,0,0,11434.7793,0.5084281,0.3392887,0,74.229126,77.0410461,0,2.8788164,0.3605319,0.3175783,0.3723902,0.3709474,0.2870047,0.1479106,0.1221942,0.091842,0.0464772,0.0948314,0.2751618,0.3851156
