year,gauge,p_mm,standardised_warm_to_cool_season_rainfall_ratio,standardised_warm_season_to_annual_rainfall_ratio,bc_q,q_mm,q_na_count,CO2,drought,included_in_calibration
1969,108002A,1657.83099645,-0.7415581934198938,-0.022912748829304608,16.588781636881077,367.60799386,0,324.62,FALSE,TRUE
1970,108002A,1874.84930261,0.5037854003297793,0.046837416311809266,21.009941022204544,710.37023397,1,325.68,FALSE,TRUE
1971,108002A,2245.81928186,-0.48772204509738293,-0.005083331530393309,26.397836419333014,1370.13561079,0,326.32,FALSE,TRUE
1972,108002A,2408.61716753,1.3797480284091224,0.07786089080085912,30.78429604503027,2153.06677332,1,327.46,FALSE,TRUE
1973,108002A,3099.67877233,-0.0035123222827668776,0.023204970943354497,26.533074743670543,1390.71364427,1,329.68,FALSE,TRUE
1974,108002A,2301.67601593,4.4589321524770105,0.1381713964444169,27.886365087048866,1608.61284893,1,330.19,FALSE,TRUE
1975,108002A,2533.33768543,-0.1866461777493642,0.013272347994618294,22.76820753247506,893.31098877,1,331.13,FALSE,TRUE
1976,108002A,2242.09649454,-0.34211506326358077,0.004134837566206029,24.777128243832546,1139.71409917,1,332.03,FALSE,TRUE
1977,108002A,2559.1414818499998,-1.0919172684078657,-0.052030278730582635,26.914478966652783,1449.90449139,1,333.84,FALSE,TRUE
1978,108002A,1741.58510217,-1.4399140462712934,-0.08779791776419776,19.89386851289222,608.84151723,0,335.41,FALSE,TRUE
1979,108002A,2861.57890252,0.6833919425117587,0.054071538819119636,30.303886888009156,2055.0966712,0,336.84,FALSE,TRUE
1980,108002A,1675.86163653,-0.9643085354584864,-0.04073541368464617,19.5719005784827,581.5420401599999,0,338.76,FALSE,TRUE
1981,108002A,2449.4400216,0.755145366564066,0.056820403960375576,22.42416782974491,855.20375961,0,340.12,FALSE,TRUE
1982,108002A,1660.5246352,-2.139453116636851,-0.1931645220049949,21.374842696588328,745.96412976,0,341.48,FALSE,TRUE
1983,108002A,1763.70529035,-1.4308854547949506,-0.08676364418162574,18.22470839267883,476.49181503,1,343.15,FALSE,TRUE
1984,108002A,1863.90191624,0.9557513098224586,0.0641140399837743,19.407526088855036,567.93839709,0,344.87,FALSE,TRUE
1985,108002A,2301.79824933,-0.10645116793445064,0.017726406768500458,23.183184121512483,940.82652938,1,346.35,FALSE,TRUE
1986,108002A,1785.82164791,-1.7305726816817042,-0.12484661821764464,21.86041990520057,795.22651859,0,347.61,FALSE,TRUE
1987,108002A,1931.44005431,-1.592610939131019,-0.10630146003716423,19.282762787040497,557.76179373,1,349.31,FALSE,TRUE
1988,108002A,1753.08753701,-0.22014298838106283,0.011361198201844558,17.96731909424161,458.04564825,1,351.69,FALSE,TRUE
1971,108003A,2340.24180796,-0.29131269999675347,0.004311628510883847,228.3289913061943,2034.85247385,0,326.32,FALSE,TRUE
1972,108003A,2709.16180674,1.2079815137201084,0.07810370984709303,249.01821990582118,2319.17656115,0,327.46,FALSE,TRUE
1973,108003A,3761.81175136,-0.04496500490127797,0.020172464942927126,330.9613995563661,3563.03500384,1,329.68,FALSE,TRUE
1974,108003A,2484.9588678200003,3.8343034977849255,0.14024703300440045,282.1210692779487,2799.7405814,0,330.19,FALSE,TRUE
1975,108003A,2931.14124001,-0.09633923737313843,0.017025423404177675,255.42870100998203,2409.81728768,2,331.13,FALSE,TRUE
1976,108003A,2620.01299425,-0.3725397046211181,-0.001376316169061087,282.1646022388222,2800.39266401,0,332.03,FALSE,TRUE
1977,108003A,3101.66543109,-1.1224621996910613,-0.06849400527778737,286.24445136039674,2861.73425455,0,333.84,FALSE,TRUE
1978,108003A,2002.15502713,-1.351606595533485,-0.09627863499669143,194.62578674828202,1599.68520376,1,335.41,FALSE,TRUE
1979,108003A,2944.81265278,0.6787450270680737,0.0573311249944386,261.8675500208434,2502.04475501,0,336.84,FALSE,TRUE
1980,108003A,1887.09254631,-0.9887157656643644,-0.05416154590241318,189.1462140338924,1532.36310091,0,338.76,FALSE,TRUE
1981,108003A,2558.55966349,1.018271114386911,0.07115043683228217,227.278361880147,2020.75488,3,340.12,FALSE,TRUE
1982,108003A,1814.95751917,-1.9335605618009875,-0.19312669084451517,209.30555890514043,1784.83682592,2,341.48,FALSE,TRUE
1983,108003A,2030.972094,-0.8853968100098872,-0.043903433184454665,209.6240207293733,1788.92964107,0,343.15,FALSE,TRUE
1984,108003A,2214.6032812500002,0.8036773150568517,0.06263811432410815,215.3054775631778,1862.48158669,1,344.87,FALSE,TRUE
1985,108003A,2620.78067526,0.15868814206956117,0.03190256294952798,262.6608350805963,2513.48897043,0,346.35,FALSE,TRUE
1986,108003A,2214.37536635,-1.7096374681413877,-0.15030591301507656,241.0286711834986,2207.87936609,1,347.61,FALSE,TRUE
1987,108003A,2223.81525337,-1.556846530252559,-0.12539695887812585,209.95053558179993,1793.12927007,1,349.31,FALSE,TRUE
1988,108003A,2116.3393233799998,-0.2264090045272198,0.008685563159349874,214.54720460474897,1852.6066668,0,351.69,FALSE,TRUE
1989,108003A,2540.10384402,-1.2970848805043045,-0.08925742954753191,252.47714621551873,2367.93673641,3,353.2,FALSE,TRUE
1990,108003A,2151.12950204,-2.2703400643789258,-0.27714609913101046,221.76980218977425,1947.38905179,2,354.45,FALSE,TRUE
1991,108003A,1829.96382371,0.8673765643907432,0.0652414660825743,180.93309818752624,1433.32223245,2,355.7,FALSE,TRUE
1992,108003A,1753.36700938,-0.9089513553096045,-0.04618381234819635,132.1512240955293,893.94887319,1,356.54,FALSE,TRUE
1993,108003A,1975.44985415,-1.1715440379550097,-0.07408081505021402,199.12522900346505,1655.69900184,3,357.21,FALSE,TRUE
1994,108003A,1806.86017151,-0.5441676137050084,-0.014246569276088805,191.5597686071934,1561.89440531,1,358.96,FALSE,TRUE
1995,108003A,2185.74297097,-0.49080017221122585,-0.010113854968499925,190.85360946663513,1553.23423542,0,360.97,FALSE,TRUE
1996,108003A,2939.29081426,0.9701327088612688,0.06930347729698061,250.06943309325854,2333.95881028,0,362.74,FALSE,TRUE
1997,108003A,2217.24987497,0.8485257874188417,0.0644780123292712,213.80608672894064,1842.97246875,1,363.88,FALSE,TRUE
1998,108003A,2281.25471101,0.1610641686191272,0.032032818337849434,217.02716011693857,1884.96926478,0,366.84,FALSE,TRUE
1999,108003A,3342.23171439,0.5636514336683818,0.052191044001522524,309.75840409561823,3223.98335227,0,368.54,FALSE,TRUE
2000,108003A,3205.39290994,-0.01335455561929999,0.022069618596362806,374.81261455408713,4299.97923809,0,369.71,FALSE,TRUE
2001,108003A,1893.81826165,2.0645152461888987,0.10417884690994894,217.822389091715,1895.38714554,0,371.32,FALSE,TRUE
2002,108003A,1141.48068903,-0.296397890450371,0.003962644183438835,101.92744672461043,605.88361452,0,373.45,FALSE,TRUE
2003,108003A,1472.69761788,-1.206890121691868,-0.07822109421692869,114.80033311344803,723.90847735,0,375.98,FALSE,TRUE
2004,108003A,3040.94819047,1.5470922656856434,0.08937117377778858,303.8729664756509,3131.93745176,0,377.7,FALSE,TRUE
2005,108003A,1658.77614428,-0.9056769036354066,-0.04586479818797784,179.3913366478995,1414.9831071199999,0,379.98,FALSE,TRUE
2006,108003A,3155.49084143,-1.2048874982358277,-0.0779838246832737,306.0955822286548,3166.5913981,0,382.09,FALSE,TRUE
2007,108003A,2351.36259377,0.6402304727639874,0.05563878747018791,212.8130872740057,1830.09080193,0,384.02,FALSE,TRUE
2008,108003A,2314.30306867,2.8128499091624217,0.12167976545022718,235.2218418948815,2128.16700581,0,385.83,FALSE,TRUE
2009,108003A,2021.25243248,1.406407595557095,0.08486482171295218,173.24275302299594,1342.65216266,0,387.64,FALSE,TRUE
2010,108003A,3574.55676433,-0.32167546685487824,0.002214005649847417,315.08481269938915,3308.06663238,0,390.1,FALSE,TRUE
2011,108003A,2989.94324861,2.382324354605796,0.11210406871134637,279.9335707459113,2767.04068196,0,391.85,FALSE,TRUE
2012,108003A,2234.85911546,-0.1977321404854453,0.010571916503795076,210.77880508217177,1803.79751123,0,394.06,FALSE,TRUE
2013,108003A,2006.15791506,-1.0439163129574847,-0.059925432335237394,196.29914369884509,1620.44010177,0,396.74,FALSE,TRUE
2014,108003A,3122.0599029,-1.306016487052508,-0.09038893157815164,246.66981683979802,2286.26902593,0,398.81,FALSE,TRUE
1959,112002A,4430.40350988,-0.6500978927371499,-0.05185172825124307,12.485938608116957,2845.72503631,0,315.98,FALSE,TRUE
1960,112002A,2639.25087442,2.3279341766621524,0.1541196752587468,11.398536555704114,1760.87527668,0,316.91,FALSE,TRUE
1961,112002A,2102.92105628,-0.01367384034042507,0.02406653111990642,10.157647635796549,986.53639779,0,317.64,FALSE,TRUE
1962,112002A,2849.84736929,-0.6158661281082449,-0.0468328415805771,11.367965912746364,1736.6482625,0,318.45,FALSE,TRUE
1963,112002A,3714.31578205,0.12315100697653358,0.03664075354447671,12.976778338849597,3506.91489879,0,318.99,FALSE,TRUE
1964,112002A,3949.28771771,-0.3094892944991994,-0.007126048967200482,12.313928575949875,2641.89276875,0,319.62,FALSE,TRUE
1965,112002A,3411.20701996,-0.7177814793694788,-0.06217538628311425,12.647070787542294,3049.30243625,0,320.04,FALSE,TRUE
1966,112002A,1884.74737054,-0.7526296307049767,-0.06770940601898334,9.591607204831696,748.16186376,0,321.37,FALSE,TRUE
1967,112002A,3543.284228,-0.0382092903316984,0.021698249675961456,12.444464138872913,2795.33246134,0,322.18,FALSE,TRUE
1968,112002A,2652.53684453,0.2786673653846057,0.04974688103858749,11.48431042811225,1830.47191715,0,323.05,FALSE,TRUE
1969,112002A,3224.4368495100002,-0.5076221447042022,-0.03178877770519162,11.602447975855279,1930.35312384,0,324.62,FALSE,TRUE
1970,112002A,3234.60350126,0.8453475645869775,0.08907109382011713,11.43643991438085,1791.33271875,0,325.68,FALSE,TRUE
1971,112002A,3040.30700896,-0.2496188275373652,-3.1560624281856686e-4,11.849077832140237,2154.7246410899997,0,326.32,FALSE,TRUE
1972,112002A,3629.28771364,0.4349309876311813,0.06180013772463311,12.54024974273066,2912.94204845,0,327.46,FALSE,TRUE
1973,112002A,4741.50877216,-0.07407953274703338,0.018169913932605475,13.540381263561743,4432.90528324,0,329.68,FALSE,TRUE
1974,112002A,3256.46140144,0.7144414791194036,0.08098687143649597,14.090756070314095,5542.1981878,0,330.19,FALSE,TRUE
