gauge,bc_lambda,station_name,state,lat,lon,major_climate_type
003303A,0,Barcoo River at Blackall (003303A),QLD,-24.43,145.46,Dry (B)
102101A,0.75,Pascoe River at Fall Creek (102101A),QLD,-12.880278,142.983056,Tropical (A)
104001A,0.606,Stewart River at Telegraph Road (104001A),QLD,-14.168611,143.393889,Tropical (A)
105101A,0.402,Normanby River at Battle Camp (105101A),QLD,-15.281389,144.838611,Tropical (A)
105102A,0.254,Laura River at Coalseam Creek (105102A),QLD,-15.613333,144.483611,Tropical (A)
105105A,0.40900000000000003,East Normanby River at Development Road (105105A),QLD,-15.771111,145.014167,Tropical (A)
107001B,0.687,Endeavour River at Flaggy (107001B),QLD,-15.423333,145.067222,Tropical (A)
108002A,0.164,Daintree River at Bairds (108002A),QLD,-16.179444,145.281944,Tropical (A)
108003A,0.659,Bloomfield River at China Camp (108003A),QLD,-15.988333,145.2875,Tropical (A)
111005A,0.656,Mulgrave River at The Fisheries (111005A),QLD,-17.1832,145.7248,Temperate (C)
111007A,0.669,Mulgrave River at Peets Br (111007A),QLD,-17.13,145.76,Temperate (C)
112002A,0.111,Fisher Creek at Nerada (112002A),QLD,-17.564167,145.9075,Temperate (C)
112101B,1.053,South Johnstone River at Upstream Central Mill (112101B),QLD,-17.6089,145.9791,Temperate (C)
112102A,0.842,Liverpool Creek at Upper Japoonvale (112102A),QLD,-17.715,145.905278,Temperate (C)
113004A,0.518,Cochable Creek at Powerline (113004A),QLD,-17.739722,145.63,Temperate (C)
114001A,0.293,Murray River at Upper Murray (114001A),QLD,-18.1069,145.8054,Temperate (C)
116006B,0.23800000000000002,Herbert River at Abergowrie (116006B),QLD,-18.492778,145.922222,Temperate (C)
116010A,0.356,Blencoe Creek at Blencoe Falls (116010A),QLD,-18.204444,145.537778,Temperate (C)
116011A,0.455,Millstream River at Ravenshoe (116011A),QLD,-17.605,145.4775,Temperate (C)
116012A,0.20400000000000001,Cameron Creek at 8.7KM (116012A),QLD,-18.065278,145.341944,Temperate (C)
116013A,0.389,Millstream river at Archer Creek (116013A),QLD,-17.651944,145.341111,Temperate (C)
116014A,0.31,Wild River at Silver Valley (116014A),QLD,-17.625,145.298889,Temperate (C)
116015A,0.685,Blunder Creek at Wooroora (116015A),QLD,-17.735278,145.438056,Temperate (C)
117002A,0.462,BlaCreek at Bruce HWY (117002A),QLD,-19.2377,146.6329,Tropical (A)
117003A,0.527,Bluewater Creek at Bluewater (117003A),QLD,-19.185,146.5461,Tropical (A)
118106A,0.332,Alligator Creek at Allendale (118106A),QLD,-19.39,146.96,Tropical (A)
119003A,0.37,Haughton River at Powerline (119003A),QLD,-19.63,147.11,Tropical (A)
120102A,0.531,Keelbottom Creek at Keelbottom (120102A),QLD,-19.3719,146.3589,Temperate (C)
120301B,0.029,Belyando River at Gregory Development Road (120301B),QLD,-21.53,146.86,Dry (B)
120304A,0.17200000000000001,Suttor River at Eaglefield (120304A),QLD,-21.45,147.71,Dry (B)
121001A,0.13,Don River at Ida Creek (121001A),QLD,-20.289444,148.116111,Temperate (C)
121002A,0.313,Elliot River at Guthalungra (121002A),QLD,-19.94,147.84,Tropical (A)
121003A,0.089,Don River at Reeves (121003A),QLD,-20.15,148.15,Temperate (C)
