gauge,start_index,end_index,length
102101A,10,28,19
102101A,30,31,2
102101A,37,38,2
102101A,40,43,4
102101A,46,51,6
102101A,53,56,4
104001A,13,28,16
104001A,49,50,2
104001A,52,56,5
105101A,10,28,19
105101A,40,43,4
105101A,46,47,2
105101A,49,50,2
105101A,52,56,5
105102A,11,23,13
105102A,25,29,5
105102A,38,43,6
105102A,46,48,3
105102A,52,53,2
105105A,12,24,13
105105A,26,28,3
105105A,39,43,5
105105A,48,49,2
105105A,53,56,4
107001B,10,28,19
107001B,30,31,2
107001B,39,44,6
107001B,48,56,9
108002A,11,30,20
108002A,33,34,2
108002A,36,42,7
108002A,45,48,4
108002A,50,56,7
108003A,13,56,44
112002A,1,50,50
112002A,53,56,4
112102A,13,56,44
113004A,9,38,30
113004A,40,56,17
116006B,12,53,42
116006B,55,56,2
116010A,3,42,40
116010A,45,56,12
116011A,5,10,6
116011A,12,56,45
116012A,4,56,53
116013A,4,5,2
116013A,7,53,47
116014A,4,28,25
116014A,30,33,4
116014A,35,38,4
116014A,40,43,4
116014A,46,52,7
116015A,9,52,44
121001A,1,37,37
121001A,39,43,5
121001A,46,50,5
121001A,52,56,5
122004A,15,36,22
122004A,40,44,5
122004A,46,48,3
122004A,51,56,6
126003A,16,34,19
126003A,40,42,3
126003A,47,54,8
136202D,7,10,4
136202D,12,48,37
136202D,50,56,7
136203A,1,29,29
136203A,32,36,5
136203A,53,56,4
136208A,11,36,26
136208A,40,41,2
136208A,53,56,4
137101A,9,32,24
137101A,34,45,12
137101A,47,56,10
137201A,9,11,3
137201A,13,38,26
137201A,41,42,2
137201A,46,56,11
138004B,17,23,7
138004B,25,33,9
138004B,35,38,4
138004B,40,47,8
138004B,50,56,7
138009A,17,39,23
138009A,41,42,2
138009A,46,56,11
138010A,17,35,19
138010A,52,56,5
138113A,14,36,23
138113A,41,43,3
138113A,47,56,10
143009A,5,44,40
143009A,46,47,2
143009A,49,56,8
143110A,14,18,5
143110A,20,23,4
143110A,25,31,7
143110A,33,34,2
143110A,51,56,6
143303A,1,9,9
143303A,11,18,8
143303A,21,30,10
143303A,32,55,24
145010A,8,56,49
145011A,9,41,33
145011A,46,48,3
145011A,50,56,7
145018A,13,31,19
145018A,33,41,9
145018A,44,48,5
145018A,50,56,7
145101D,1,43,43
145101D,46,56,11
145107A,16,56,41
146010A,5,56,52
146012A,13,24,12
146012A,27,28,2
146012A,32,56,25
146014A,14,23,10
146014A,27,56,30
146095A,14,25,12
146095A,27,56,30
204034,14,15,2
204034,17,24,8
204034,26,39,14
204034,41,56,16
206014,2,27,26
206014,29,38,10
206014,42,56,15
206018,3,8,6
206018,10,12,3
206018,14,50,37
206018,52,56,5
208007,1,8,8
208007,14,17,4
208007,19,24,6
208007,26,31,6
208007,33,48,16
208007,51,56,6
208009,1,2,2
208009,9,17,9
208009,19,32,14
208009,34,42,9
208009,49,52,4
208009,54,56,3
210006,1,12,12
210006,14,18,5
210006,20,25,6
210006,28,39,12
210006,44,56,13
210011,2,8,7
210011,10,17,8
210011,19,22,4
210011,24,25,2
210011,27,30,4
210011,36,56,21
211008,17,18,2
211008,20,29,10
211008,31,33,3
211008,36,37,2
211008,39,48,10
211008,53,54,2
212209,15,17,3
212209,21,25,5
212209,28,29,2
212209,36,37,2
212209,39,43,5
212260,12,14,3
212260,16,21,6
212260,25,27,3
212260,30,35,6
212260,41,44,4
212260,46,54,9
215002,12,18,7
215002,27,28,2
215002,32,39,8
215002,41,42,2
215002,44,46,3
215002,49,55,7
215004,6,9,4
215004,23,26,4
215004,28,33,6
215004,39,43,5
215004,45,48,4
215004,51,52,2
215004,54,55,2
215207,22,24,3
215207,26,30,5
215207,32,34,3
215207,36,52,17
215207,54,56,3
216002,3,10,8
216002,16,19,4
216002,21,22,2
216002,24,25,2
216002,33,52,20
216004,17,18,2
216004,20,21,2
216004,26,28,3
216004,35,40,6
216004,42,45,4
216004,47,54,8
218001,13,55,43
219001,1,56,56
221207,11,12,2
221207,14,56,43
221210,15,56,42
222206,2,6,5
222206,8,56,49
222213,1,50,50
222213,55,56,2
223202,1,56,56
224206,3,56,54
224213A,16,51,36
224213A,53,56,4
224214A,17,48,32
224214A,50,56,7
225020A,5,23,19
225020A,38,47,10
225020A,51,56,6
225110A,21,24,4
225110A,28,32,5
225110A,40,48,9
225110A,50,55,6
225219,10,47,38
225219,50,56,7
226220,1,32,32
226220,34,35,2
226220,39,54,16
226222,14,29,16
226222,36,47,12
226222,51,55,5
226407,15,28,14
226407,38,47,10
226407,49,54,6
227225A,11,50,40
227225A,52,56,5
227226,13,56,44
227227,16,56,41
229650A,24,25,2
229650A,40,48,9
229650A,52,56,5
229661A,40,47,8
229661A,50,56,7
230210,11,43,33
230210,45,56,12
231213,2,52,51
235205,1,56,56
236213,17,49,33
236213,51,56,6
238208,1,56,56
302214,22,37,16
302214,44,47,4
302214,49,56,8
304497,7,54,48
304499,8,15,8
304499,18,29,12
304499,31,36,6
304499,40,47,8
304499,49,56,8
305202,18,56,39
307473,7,18,12
307473,20,23,4
307473,27,56,30
308145,1,43,43
308145,49,50,2
308799,23,53,31
312061,1,9,9
312061,11,15,5
312061,17,20,4
312061,23,53,31
314207,6,39,34
314207,42,44,3
314207,48,49,2
314207,51,56,6
314213,14,37,24
314213,40,46,7
314213,49,56,8
315450,5,54,50
318076,1,21,21
318076,23,46,24
318076,49,51,3
318076,53,56,4
401009,1,36,36
401009,38,49,12
401012,11,12,2
401012,14,16,3
401012,18,35,18
401012,38,39,2
401012,41,55,15
401015,16,30,15
401015,32,36,5
401015,38,45,8
401015,47,54,8
401203,1,56,56
401208,8,56,49
401210,1,56,56
401212,1,56,56
401216,1,56,56
401217,14,56,43
402204,10,51,42
402204,53,56,4
402206,18,52,35
402206,54,55,2
402213,13,51,39
402213,54,56,3
402217,13,51,39
403209A,8,13,6
403209A,16,56,41
403213A,1,2,2
403213A,8,16,9
403213A,18,52,35
403213A,54,56,3
403214,4,5,2
403214,7,56,50
403217,11,48,38
403217,50,51,2
403221,7,52,46
403221,54,56,3
403222,8,51,44
403222,54,56,3
403226,10,34,25
403226,37,49,13
403226,52,56,5
403232,15,34,20
403232,37,41,5
403232,43,56,14
404207,6,56,51
405205,18,54,37
405209,16,56,41
405215,17,51,35
405215,54,56,3
405217,18,35,18
405217,37,55,19
405218,2,56,55
405219,10,46,37
405219,48,49,2
405226,17,56,40
405227,13,56,44
405238,15,16,2
405238,18,56,39
405245,13,33,21
405245,35,56,22
405248,14,56,43
405251,16,41,26
405251,43,56,14
405263,18,52,35
405264,18,56,39
405274,20,56,37
406208,1,56,56
406213,18,36,19
406213,38,56,19
406214,15,50,36
406214,52,56,5
406224,18,53,36
407214,1,56,56
407215,18,36,19
407215,38,49,12
407215,51,56,6
407220,16,52,37
407230,16,56,41
407253,16,42,27
407253,46,53,8
407253,55,56,2
408200,7,36,30
408200,40,51,12
408202,9,52,44
408202,54,55,2
410057,1,56,56
410061,1,53,53
410705,1,5,5
410705,7,56,50
410730,6,31,26
410730,33,56,24
410731,8,31,24
410731,36,48,13
410731,50,56,7
410734,9,36,28
410734,38,50,13
410734,52,56,5
410761,17,22,6
410761,24,33,10
410761,35,42,8
410761,44,55,12
412028,3,40,38
412028,42,44,3
412028,46,55,10
412050,12,24,13
412050,26,45,20
412066,3,7,5
412066,9,10,2
412066,13,40,28
412066,43,46,4
412066,48,56,9
415207,6,56,51
415226,14,51,38
415226,54,56,3
415237,19,54,36
416003,21,52,32
416008,21,25,5
416008,27,28,2
416008,31,52,22
416008,54,56,3
