gauge,start_index,end_index,length
003303A,21,56,36
003303A,58,72,15
102101A,19,37,19
104001A,22,37,16
105101A,19,37,19
105101A,39,72,34
105102A,20,32,13
105105A,21,37,17
105105A,39,72,34
107001B,19,37,19
108002A,20,39,20
108002A,59,72,14
108003A,22,65,44
111005A,18,48,31
111005A,58,72,15
111007A,24,72,49
112002A,1,72,72
112101B,26,54,29
112101B,56,72,17
112102A,22,72,51
113004A,18,47,30
113004A,49,72,24
114001A,22,72,51
116006B,21,72,52
116010A,12,51,40
116010A,54,72,19
116011A,14,72,59
116012A,13,65,53
116013A,13,72,60
116014A,13,72,60
116015A,18,72,55
117002A,25,72,48
117003A,25,72,48
118106A,26,72,47
119003A,21,72,52
120102A,19,69,51
120301B,28,72,45
120304A,19,46,28
120304A,58,72,15
121001A,9,46,38
121002A,25,71,47
121003A,36,72,37
122004A,24,72,49
124002A,25,71,47
125005A,25,72,48
126003A,25,71,47
129001A,17,72,56
130004A,15,72,58
130302A,1,72,72
130324A,18,72,55
130403A,17,72,56
130410A,22,72,51
130413A,23,72,50
132001A,1,72,72
135002A,17,72,56
135004A,17,72,56
136006A,17,72,56
136202D,16,72,57
136203A,1,39,39
136203A,41,72,32
136208A,20,72,53
136304A,17,72,56
137101A,18,40,23
137101A,56,72,17
137201A,18,72,55
138004B,26,42,17
138009A,26,72,47
138010A,26,44,19
138110A,11,72,62
138113A,23,45,23
138113A,56,65,10
138903A,33,72,40
140002A,28,42,15
140002A,46,72,27
141008A,33,71,39
143007A,30,40,11
143007A,42,72,31
143009A,14,72,59
143107A,27,50,24
143107A,55,72,18
143110A,29,40,12
143110A,42,72,31
143209B,19,34,16
143209B,50,72,23
143303A,1,27,27
143303A,30,39,10
143303A,41,64,24
145010A,17,72,56
145011A,18,72,55
145018A,22,40,19
145018A,53,72,20
145101D,6,72,67
145102B,1,31,31
145102B,36,56,21
145102B,58,69,12
145107A,25,72,48
146010A,14,72,59
146012A,22,33,12
146012A,41,72,32
146014A,23,32,10
146014A,36,65,30
146095A,23,34,12
146095A,36,72,37
201001,37,72,36
203005,36,72,37
203010,19,35,17
203010,43,72,30
203030,31,72,42
204002,42,72,31
204007,23,32,10
204007,41,72,32
204014,28,39,12
204014,46,60,15
204017,38,72,35
204025,39,57,19
204025,60,72,13
204030,41,72,32
204034,35,48,14
204034,50,65,16
204036,8,19,12
204036,34,65,32
204037,29,72,44
204039,50,68,19
204041,37,61,25
204041,63,72,10
204046,26,39,14
204046,43,72,30
204051,41,68,28
204056,41,72,32
204906,28,39,12
204906,41,72,32
206009,6,21,16
206009,30,46,17
206009,48,72,25
206014,11,36,26
206014,38,47,10
206014,51,72,22
206018,23,59,37
206018,61,72,12
206025,30,72,43
207004,37,72,36
207013,44,72,29
207014,48,72,25
207015,36,72,37
208003,42,72,31
208004,23,33,11
208004,42,72,31
208005,27,39,13
208005,42,55,14
208005,57,72,16
208007,1,17,17
208007,42,57,16
208007,60,72,13
208009,28,41,14
208009,56,72,17
208011,26,38,13
208011,48,71,24
208015,21,34,14
208015,38,72,35
208024,34,52,19
208024,58,72,15
208026,42,60,19
208026,62,72,11
209002,27,53,27
209002,55,67,13
209003,20,31,12
209003,47,72,26
210006,7,21,15
210006,37,48,12
210006,53,65,13
210011,45,72,28
210014,11,24,14
210014,29,48,20
210014,62,72,11
210016,1,19,19
210016,53,72,20
210017,1,19,19
210017,52,68,17
210022,14,24,11
210022,31,42,12
210022,45,58,14
210022,60,72,13
210031,7,36,30
210031,49,72,24
210040,24,44,21
210040,55,72,18
210052,10,26,17
210052,56,72,17
211008,29,38,10
211008,48,57,10
211009,44,72,29
211013,30,40,11
211013,43,72,30
211014,50,72,23
212040,52,69,18
212260,55,69,15
215002,41,51,11
215004,60,70,11
215207,41,61,21
216002,42,72,31
216009,44,72,29
218001,22,72,51
218005,16,69,54
218007,26,72,47
218008,36,72,37
219001,1,72,72
219003,1,72,72
219006,3,72,70
219017,18,72,55
219022,23,34,12
219022,36,72,37
220003,18,72,55
221002,35,72,38
221201,9,72,64
221207,23,72,50
221208,31,72,42
221209,24,72,49
221210,24,72,49
221211,26,72,47
221212,27,72,46
222004,1,72,72
222016,37,46,10
222202,6,16,11
222202,18,71,54
222206,1,72,72
222210,25,62,38
222213,9,59,51
222217,28,72,45
223202,1,72,72
223204,13,56,44
223204,58,70,13
223205,17,70,54
224201,17,72,56
224203,2,70,69
224206,12,72,61
224213,25,60,36
224214,26,57,32
224214,59,69,11
225020A,14,32,19
225020A,47,56,10
225201,28,70,43
225209,15,57,43
225209,59,70,12
225213,15,67,53
225218,19,72,54
225219,19,56,38
225219,59,72,14
225221,20,34,15
225221,39,49,11
225221,59,68,10
225223,23,40,18
225223,43,64,22
225224,24,57,34
225224,59,70,12
226023,12,22,11
226023,29,48,20
226023,51,63,13
226204,1,72,72
226205,9,46,38
226205,48,70,23
226209,12,72,61
226218,7,70,64
226220,9,41,33
226220,48,63,16
226222,23,38,16
226222,45,56,12
226226,12,72,61
226402,9,72,64
226407,10,20,11
226407,24,37,14
226407,47,56,10
226410,14,62,49
227200,17,64,48
227202,7,71,65
227205,17,70,54
227210,4,70,67
227211,12,72,61
227213,12,70,59
227219,18,59,42
227219,61,72,12
227225,20,59,40
227225,61,72,12
227226,22,72,51
227227,25,68,44
227231,25,72,48
227236,31,66,36
227237,31,72,42
229650A,48,57,10
229661A,59,70,12
230205,16,61,46
230205,63,72,10
230209,18,61,44
230210,20,52,33
230210,54,72,19
231211,30,72,43
231213,11,62,52
231225,25,68,44
231231,31,66,36
232214,29,70,42
232215,29,70,42
233214,7,70,64
233223,22,61,40
234200,21,72,52
234201,15,72,58
234203,25,72,48
234209,27,69,43
235202,21,72,52
235203,27,72,46
235204,28,56,29
235205,10,72,63
235209,16,70,55
235210,17,60,44
235210,62,72,11
235211,16,58,43
235219,19,69,51
235224,21,72,52
235227,26,67,42
235233,29,70,42
235234,31,70,40
235237,34,67,34
236202,18,69,52
236203,2,69,68
236204,2,68,67
236205,18,72,55
236209,7,70,64
236210,7,70,64
236212,27,72,46
236213,26,58,33
236213,60,72,13
236216,29,60,32
237200,2,70,69
237202,20,72,53
237205,21,69,49
237206,25,72,48
237207,27,72,46
238204,22,72,51
238208,2,72,71
238219,20,70,51
238223,26,59,34
238223,61,72,12
238229,22,66,45
238230,26,72,47
238231,31,69,39
238235,22,72,51
302200,53,72,20
302208,22,72,51
302214,31,46,16
303203,23,42,20
303203,50,72,23
304040,3,72,70
304497,16,72,57
304499,17,72,56
305202,27,72,46
306119,1,46,46
307473,16,27,12
307473,36,72,37
308145,5,52,48
308799,32,72,41
312061,1,72,72
314207,15,48,34
314212,20,57,38
314213,23,46,24
314213,58,72,15
314214,18,43,26
314214,45,72,28
315450,14,72,59
316624,24,72,49
317200,19,66,48
318076,1,30,30
318076,32,55,24
318150,24,36,13
318150,38,72,35
318181,8,72,65
318191,35,54,20
318191,56,72,17
318311,61,72,12
319204,24,51,28
319204,54,72,19
401009,1,45,45
401009,47,58,12
401012,27,44,18
401012,50,72,23
401013,24,56,33
401015,25,39,15
401015,56,72,17
401016,35,45,11
401016,62,72,11
401017,35,56,22
401203,6,72,67
401208,17,72,56
401210,5,72,68
401212,6,70,65
401215,2,67,66
401216,1,57,57
401216,59,70,12
401217,23,70,48
401220,29,66,38
402204,19,60,42
402204,62,72,11
402206,27,61,35
402213,22,48,27
402213,50,60,11
402217,22,60,39
403200,2,23,22
403200,25,36,12
403200,38,70,33
403205,2,13,12
403205,16,60,45
403209A,25,65,41
403213,27,61,35
403213,63,72,10
403214,16,72,57
403217,20,60,41
403221,16,61,46
403221,63,72,10
403222,17,60,44
403222,63,72,10
403223,20,70,51
403224,27,72,46
403226,19,43,25
403226,46,58,13
403230,17,61,45
403232,24,43,20
403232,46,72,27
403233,24,60,37
404204,18,70,53
404207,12,72,61
405205,27,67,41
405209,25,72,48
405212,13,24,12
405212,27,65,39
405214,19,72,54
405215,26,60,35
405217,27,64,38
405218,11,72,62
405219,19,58,40
405226,26,69,44
405227,22,70,49
405228,27,72,46
405229,21,72,52
405230,25,64,40
405231,26,46,21
405231,48,72,25
405234,25,72,48
405237,15,56,42
405238,27,66,40
405240,27,43,17
405240,45,72,28
405241,25,72,48
405245,22,42,21
405245,44,72,29
405246,22,38,17
405246,42,60,19
405248,23,72,50
405251,25,67,43
405263,27,61,35
405264,27,72,46
405274,29,72,44
406208,1,72,72
406213,27,66,40
406214,24,72,49
406224,27,62,36
406226,30,49,20
406226,51,67,17
406235,32,54,23
406250,35,58,24
406250,61,70,10
407211,2,11,10
407211,42,66,25
407213,24,44,21
407213,47,59,13
407213,63,72,10
407214,1,72,72
407215,27,45,19
407215,47,58,12
407217,2,58,57
407220,25,61,37
407221,6,65,60
407230,25,72,48
407239,22,36,15
407246,25,66,42
407253,25,51,27
408200,22,72,51
408202,18,61,44
408206,39,72,34
410024,1,72,72
410026,25,72,48
410033,16,72,57
410038,29,72,44
410044,32,53,22
410047,31,72,42
410057,9,72,64
410061,1,72,72
410062,16,50,35
410062,52,72,21
410088,19,72,54
410091,33,47,15
410091,49,59,11
410091,61,72,12
410141,34,63,30
410156,37,72,36
410705,16,70,55
410713,9,34,26
410713,44,70,27
410730,15,40,26
410730,42,72,31
410731,17,40,24
410731,45,57,13
410731,59,72,14
410734,18,45,28
410734,47,59,13
410734,61,72,12
410761,33,51,19
410761,53,66,14
411003,30,47,18
412028,12,49,38
412028,55,64,10
412029,1,29,29
412029,33,50,18
412050,21,33,13
412050,35,54,20
412066,22,49,28
412066,57,72,16
415201,20,72,53
415206,2,58,57
415206,61,70,10
415207,15,71,57
415220,26,39,14
415220,47,65,19
415223,17,59,43
415226,23,60,38
415237,28,63,36
415238,28,47,20
415238,49,59,11
415238,63,72,10
415245,37,70,34
416003,30,72,43
416008,40,61,22
416010,27,72,46
416016,26,68,43
416020,39,72,34
416023,34,72,39
416032,25,38,14
416032,40,72,33
418005,23,72,50
418014,29,39,11
418014,42,72,31
418015,36,45,10
418015,48,72,25
418017,40,72,33
418021,42,72,31
418025,34,72,39
418027,23,35,13
418027,39,72,34
418032,54,72,19
419005,1,25,25
419005,42,72,31
419010,31,40,10
419010,42,72,31
419016,25,39,15
419016,41,72,32
419029,42,62,21
419035,38,72,35
419054,26,39,14
419054,42,72,31
420003,42,51,10
420017,41,59,19
421018,42,63,22
421026,53,67,15
421042,41,61,21
421042,63,72,10
421048,43,54,12
421048,58,72,15
421050,46,55,10
421050,57,69,13
422202B,1,72,72
422306A,1,72,72
422313B,24,45,22
422313B,47,65,19
422319B,20,45,26
422319B,47,72,26
422321B,24,69,46
422334A,21,71,51
422338A,26,72,47
422394A,24,72,49
424002,27,72,46
424201A,19,38,20
424201A,41,72,32
602004,28,72,45
603003,26,72,47
603004,35,72,38
603005,37,72,36
603007,37,72,36
603136,12,72,61
603190,14,72,59
604001,31,72,42
604053,8,72,65
605012,3,72,70
606001,27,72,46
606002,34,72,39
606185,15,49,35
606195,15,71,57
607003,22,72,51
607004,26,72,47
607007,30,63,34
607013,31,72,42
607144,13,72,60
607155,13,50,38
607220,18,72,55
608002,27,72,46
608151,3,72,70
609002,21,72,52
609005,27,63,37
609010,30,72,43
609018,35,72,38
610001,22,72,51
610008,29,49,21
611004,32,72,41
611111,9,72,64
612001,20,72,53
612014,26,72,47
612025,34,72,39
612034,4,18,15
612034,23,72,50
612230,19,72,54
613002,22,72,51
613146,13,72,60
614006,42,61,20
614006,63,72,10
614037,35,72,38
614044,32,72,41
614196,42,72,31
614224,18,72,55
616001,28,58,31
616002,22,34,13
616002,36,71,36
616006,32,72,41
616013,35,67,33
616019,33,72,40
616041,33,72,40
616065,36,49,14
616178,31,71,41
616216,18,71,54
617002,23,72,50
617003,29,72,44
701002,22,72,51
701007,28,72,45
701009,42,72,31
704139,9,72,64
704193,16,72,57
705001,26,42,17
705001,44,72,29
707002,24,72,49
707005,38,72,35
708011,32,72,41
709010,37,72,36
710003,34,72,39
710229,40,72,33
802055,33,72,40
803003,19,30,12
803003,33,48,16
804001,39,65,27
809310,21,30,10
809310,34,49,16
809310,53,72,20
809315,33,72,40
809316,34,49,16
809316,52,72,21
809321,33,72,40
809322,33,49,17
809322,51,72,22
912101A,21,46,26
912101A,48,64,17
912105A,20,38,19
912105A,48,61,14
915206A,21,38,18
915206A,43,71,29
917107A,20,43,24
917107A,57,72,16
919003A,19,40,22
919003A,52,72,21
919005A,20,39,20
919005A,48,72,25
919201A,19,39,21
919201A,49,65,17
919309A,19,40,22
919309A,58,72,15
922101B,19,37,19
925001A,10,37,28
925001A,51,71,21
926002A,22,37,16
926002A,43,72,30
A0020101,18,35,18
A0020101,41,72,32
A0030501,25,72,48
A2390519,23,70,48
A2390523,25,42,18
A2390523,44,64,21
A2390531,28,67,40
A4260533,28,41,14
A4260533,43,61,19
A5030502,21,70,50
A5040523,45,72,28
A5050517,31,45,15
A5060500,30,57,28
A5060500,59,72,14
A5070500,29,59,31
A5070500,62,71,10
A5070503,24,36,13
A5070503,63,72,10
A5090503,29,46,18
A5090503,48,57,10
A5130501,25,60,36
G0010005,31,43,13
G0050115,24,68,45
G0060005,26,47,22
G0060005,49,59,11
G8110004,30,48,19
G8110016,56,65,10
G8140001,41,50,10
G8140001,54,63,10
G8140008,25,37,13
G8140011,57,67,11
G8140040,37,47,11
G8140040,50,62,13
G8140063,29,43,15
G8140063,52,72,21
G8150010,26,38,13
G8150010,45,59,15
G8150010,61,72,12
G8150098,21,50,30
G8150180,29,42,14
G8150180,53,72,20
G8170002,62,72,11
G8190001,30,49,20
G8200045,29,38,10
G9030124,36,49,14
G9070142,60,69,10
