year,gauge,p_mm,q_mm,bc_q,q_na_count
1950,003303A,1132.490882,NA,NA,365
1951,003303A,319.726407,NA,NA,365
1952,003303A,438.384513,NA,NA,366
1953,003303A,336.466801,NA,NA,365
1954,003303A,784.471142,NA,NA,365
1955,003303A,834.989828,NA,NA,365
1956,003303A,992.41752,NA,NA,366
1957,003303A,333.541765,NA,NA,365
1958,003303A,374.792224,NA,NA,365
1959,003303A,554.958331,NA,NA,365
1960,003303A,606.25267,NA,NA,366
1961,003303A,591.977538,NA,NA,365
1962,003303A,563.029433,NA,NA,365
1963,003303A,827.28322,NA,NA,365
1964,003303A,483.011939,NA,NA,366
1965,003303A,288.856847,NA,NA,365
1966,003303A,390.650983,NA,NA,365
1967,003303A,380.034409,NA,NA,365
1968,003303A,480.690495,NA,NA,366
1969,003303A,300.310244,NA,NA,122
1970,003303A,444.179687,8.102693,2.20857030380889,0
1971,003303A,399.328641,4.817785,1.7609196051103624,0
1972,003303A,363.922136,6.917519,2.0690778991751735,0
1973,003303A,679.127969,8.376462,2.2382025063647237,0
1974,003303A,688.4820569999999,11.863799,2.554417087314539,0
1975,003303A,480.889139,2.183257,1.1579048864794352,0
1976,003303A,463.329793,5.9229899999999995,1.934847757234351,0
1977,003303A,548.262763,7.182615,2.1020117816787933,0
1978,003303A,703.445144,10.650959,2.4553884942203688,0
1979,003303A,334.46663,2.321249,1.2003409170003843,0
1980,003303A,427.331401,2.265704,1.183475359700092,0
1981,003303A,701.944642,22.983657,3.1773726400571785,0
1982,003303A,320.955148,6.615581,2.0301962802193394,0
1983,003303A,836.830086,60.866066000000004,4.124971822585133,0
1984,003303A,669.111702,12.013662,2.5659997287053917,0
1985,003303A,398.05252,2.158377,1.150058288062324,0
1986,003303A,412.098142,2.196731,1.1621287251550736,0
1987,003303A,545.134457,6.143655,1.9662245501348523,0
1988,003303A,312.719484,1.240112,0.80652586461699,0
1989,003303A,552.745635,17.063039,2.893867806257872,0
1990,003303A,747.264605,73.850985,4.315499270431689,0
1991,003303A,364.603908,2.76115,1.3247247617027311,0
1992,003303A,428.552823,3.094282,1.4095913661565829,0
1993,003303A,423.919706,6.4135219999999995,2.003305630030723,0
1994,003303A,366.61472299999997,10.355608,2.429711718818023,0
1995,003303A,467.470812,8.228241,2.22226845613867,0
1996,003303A,660.359654,27.604952,3.3535798496907674,0
1997,003303A,722.56061,67.908911,4.232785502022651,2
1998,003303A,721.255813,5.556432,1.8804465525483856,0
1999,003303A,685.735098,8.604861,2.262269324486445,0
2000,003303A,607.43658,5.204644,1.8252980439244513,2
2001,003303A,499.998933,2.494627,1.2512266460991006,0
2002,003303A,273.993554,4.642776,1.7303761430015379,0
2003,003303A,424.379511,5.004335,1.7924817083505784,0
2004,003303A,639.170304,50.218511,3.9361010096733016,1
2005,003303A,387.606138,0.573732,0.4534498686620818,9
2006,003303A,431.684782,NA,NA,82
2007,003303A,620.431787,12.558938,2.607045960861118,0
2008,003303A,688.665993,40.99452,3.7375391335801336,0
2009,003303A,480.678925,3.873382,1.583788151923769,0
2010,003303A,1345.853362,154.787412,5.048492334280314,0
2011,003303A,637.172643,25.89663,3.2920009999493387,0
2012,003303A,731.128998,54.531731,4.0169545871069445,0
2013,003303A,203.754894,0.005126,0.0051129067868128176,0
2014,003303A,521.083016,1.543908,0.9337014813019472,0
2015,003303A,327.867892,1.0007030000000001,0.6934986187982928,0
2016,003303A,696.006239,15.304032,2.791412439186981,0
2017,003303A,347.557715,3.279779,1.4539013727465275,0
2018,003303A,329.963162,6.118164999999999,1.9626499674880604,0
2019,003303A,324.211935,9.306156,2.3327413866049787,0
2020,003303A,440.412916,8.056337,2.203464733665971,0
2021,003303A,590.339331,14.556476,2.7444770149510966,0
2022,003303A,647.31639,NA,NA,31
1950,102101A,1870.210026,NA,NA,365
1951,102101A,1027.461644,NA,NA,365
1952,102101A,1174.257407,NA,NA,366
1953,102101A,1064.587622,NA,NA,365
1954,102101A,1213.688219,NA,NA,365
1955,102101A,1614.327457,NA,NA,365
1956,102101A,1683.33946,NA,NA,366
1957,102101A,1345.377902,NA,NA,365
1958,102101A,1784.209202,NA,NA,365
1959,102101A,1676.268691,NA,NA,365
1960,102101A,1686.371933,NA,NA,366
1961,102101A,790.835751,NA,NA,365
1962,102101A,1302.208499,NA,NA,365
1963,102101A,1324.48557,NA,NA,365
1964,102101A,1784.169962,NA,NA,366
1965,102101A,1684.730045,NA,NA,365
1966,102101A,1017.766885,NA,NA,365
1967,102101A,1378.596868,NA,NA,274
1968,102101A,1199.603277,461.631414,131.67078114627824,0
1969,102101A,1220.472819,463.837739,132.1462282918781,0
1970,102101A,1351.03226,535.6427639999999,147.3295990208784,1
1971,102101A,1412.061996,1476.60726,316.4330849367701,4
1972,102101A,1579.773457,783.95737,196.39699621375033,0
1973,102101A,2384.023595,1526.355775,324.4237704228678,0
1974,102101A,1239.243981,1275.654188,283.4363106547427,0
1975,102101A,2115.675612,1468.534753,315.1301706897112,1
1976,102101A,1642.422922,1277.13715,283.6843660459735,0
1977,102101A,1915.98173,1197.151029,270.1995369443511,0
1978,102101A,1270.288374,432.697902,125.3820166885871,0
1979,102101A,1677.565129,1355.003493,296.61046001585834,0
1980,102101A,1372.31261,650.914744,170.68781366696768,0
1981,102101A,1626.262562,537.750124,147.7672264437397,0
1982,102101A,1765.818281,1204.163733,271.3906158578522,0
1983,102101A,1186.471931,151.437103,56.51045810583054,0
1984,102101A,1728.099493,1044.017878,243.73180029132436,1
1985,102101A,2175.56504,1412.874386,306.09709963109617,0
1986,102101A,1305.847458,423.249488,123.30588932528885,0
1987,102101A,1426.290206,NA,NA,77
1988,102101A,1195.12343,102.355123,41.886963248324655,2
1989,102101A,1691.726964,901.975703,218.29875199396972,1
1990,102101A,1427.700517,NA,NA,103
1991,102101A,1338.339779,NA,NA,218
1992,102101A,1616.783485,NA,NA,162
1993,102101A,1236.759289,NA,NA,98
1994,102101A,1169.778578,NA,NA,33
1995,102101A,1822.632339,626.269832,165.78709395905838,1
1996,102101A,2183.7192450000002,1741.388745,358.24832370902027,0
1997,102101A,1521.545696,NA,NA,33
1998,102101A,1661.672833,566.965108,153.79101814773446,1
1999,102101A,2338.416601,1577.679068,332.5995016969623,0
2000,102101A,2061.3503729999998,1456.229231,313.14059248618383,1
2001,102101A,1397.57023,1166.385837,264.95341326882493,1
2002,102101A,983.631561,329.824433,102.09437909264331,8
2003,102101A,1371.626116,NA,NA,11
2004,102101A,1378.908037,774.83987,194.67196316171234,0
2005,102101A,1208.096826,868.299175,212.12626466845654,1
2006,102101A,2557.721978,2247.159232,433.9870848169223,0
2007,102101A,1370.719044,382.630129,114.24415902055114,1
2008,102101A,1338.480119,456.755826,130.6181105653047,1
2009,102101A,984.046554,402.737208,118.75831840504851,5
2010,102101A,2300.749554,NA,NA,152
2011,102101A,1645.231661,1615.546113,338.5890865823166,0
2012,102101A,1124.188768,484.222123,136.51267096695582,0
2013,102101A,1501.815527,744.660809,188.92545424994293,0
2014,102101A,1360.471836,1126.756472,258.1444819726845,0
2015,102101A,1649.347751,NA,NA,365
2016,102101A,962.597454,NA,NA,366
2017,102101A,1333.722704,NA,NA,365
2018,102101A,1530.387997,NA,NA,365
2019,102101A,1803.894322,NA,NA,365
2020,102101A,1353.418299,NA,NA,366
2021,102101A,1817.482955,NA,NA,365
2022,102101A,1962.596114,NA,NA,90
1950,104001A,1473.999224,NA,NA,365
1951,104001A,807.708619,NA,NA,365
1952,104001A,839.383137,NA,NA,366
1953,104001A,1194.043515,NA,NA,365
1954,104001A,1220.975369,NA,NA,365
1955,104001A,1447.959848,NA,NA,365
1956,104001A,1477.705793,NA,NA,366
1957,104001A,1219.413314,NA,NA,365
1958,104001A,1100.432208,NA,NA,365
1959,104001A,1287.952982,NA,NA,365
1960,104001A,1117.704442,NA,NA,366
1961,104001A,659.739784,NA,NA,365
1962,104001A,1132.765864,NA,NA,365
1963,104001A,1219.297926,NA,NA,365
1964,104001A,1335.461671,NA,NA,366
1965,104001A,934.4753450000001,NA,NA,365
1966,104001A,890.104052,NA,NA,365
1967,104001A,1108.93317,NA,NA,365
1968,104001A,1388.525466,NA,NA,366
1969,104001A,1058.155229,NA,NA,365
1970,104001A,1239.299216,NA,NA,19
1971,104001A,1373.554373,497.038757,69.48246052146725,0
1972,104001A,1418.804043,565.528658,75.25930830954434,0
1973,104001A,1918.780907,677.312736,84.1274444110651,0
1974,104001A,1418.349658,826.121629,95.08278193835808,0
1975,104001A,1511.715047,609.040452,78.78662078278631,0
1976,104001A,1500.222391,830.981287,95.42680042054108,1
1977,104001A,1246.82681,544.747558,73.53712076027404,1
1978,104001A,946.244628,246.545198,44.91723668890656,0
1979,104001A,1603.871596,701.07559,85.93609925949548,0
1980,104001A,909.188718,226.556245,42.60084253440325,0
1981,104001A,1578.928882,477.527246,67.78041895282539,0
1982,104001A,1388.588511,706.8841630000001,86.37451738279768,0
1983,104001A,842.385531,76.941933,21.46732646439636,2
1984,104001A,1715.463318,583.360696,76.71734722752596,0
1985,104001A,1404.140749,690.932152,85.16705272573833,1
1986,104001A,931.461226,170.330298,35.608808250262065,0
1987,104001A,1012.667819,NA,NA,78
1988,104001A,969.844698,NA,NA,57
1989,104001A,1179.673998,NA,NA,222
1990,104001A,1044.8779789999999,NA,NA,120
1991,104001A,1180.795862,NA,NA,45
1992,104001A,1296.024937,NA,NA,83
1993,104001A,1297.827388,NA,NA,34
1994,104001A,832.118201,NA,NA,64
1995,104001A,1068.465333,171.966665,35.82405457828957,5
1996,104001A,1701.553743,NA,NA,30
1997,104001A,999.161285,NA,NA,27
1998,104001A,1429.278797,NA,NA,73
1999,104001A,1531.1891620000001,NA,NA,21
2000,104001A,1752.754425,705.316862,86.2563610820353,3
2001,104001A,1137.473701,NA,NA,35
2002,104001A,883.658833,NA,NA,26
2003,104001A,914.451997,NA,NA,33
2004,104001A,1309.077754,494.867244,69.29434943642701,1
2005,104001A,881.886887,NA,NA,32
2006,104001A,1698.18959,NA,NA,38
2007,104001A,1419.674754,366.532005,57.519109600534875,5
2008,104001A,1183.590605,208.83173,40.478849437236,1
2009,104001A,881.287057,NA,NA,39
2010,104001A,1698.209571,458.670384,66.10930010801897,1
2011,104001A,1615.646074,749.626044,89.558079064459,1
2012,104001A,828.716878,207.617957,40.33100118810009,0
2013,104001A,1298.7391460000001,194.902502,38.76120791302616,0
2014,104001A,1311.46246,472.984047,67.38020368709334,0
2015,104001A,1192.013786,NA,NA,365
2016,104001A,685.179454,NA,NA,366
2017,104001A,875.469057,NA,NA,365
2018,104001A,1341.889378,NA,NA,365
2019,104001A,1254.269712,NA,NA,365
2020,104001A,1152.293554,NA,NA,366
2021,104001A,1828.665296,NA,NA,365
2022,104001A,1814.384841,NA,NA,90
1950,105101A,2165.345347,NA,NA,365
1951,105101A,891.331238,NA,NA,365
1952,105101A,1070.622104,NA,NA,366
1953,105101A,1507.722596,NA,NA,365
1954,105101A,1291.116506,NA,NA,365
1955,105101A,1728.425336,NA,NA,365
1956,105101A,1801.655226,NA,NA,366
1957,105101A,1700.559112,NA,NA,365
1958,105101A,1186.404086,NA,NA,365
1959,105101A,1494.027027,NA,NA,365
1960,105101A,1230.66996,NA,NA,366
1961,105101A,884.80075,NA,NA,365
1962,105101A,1310.919604,NA,NA,365
1963,105101A,2024.998378,NA,NA,365
1964,105101A,1914.950585,NA,NA,366
1965,105101A,1206.811244,NA,NA,365
1966,105101A,697.229228,NA,NA,365
1967,105101A,1578.194104,NA,NA,349
1968,105101A,1345.729447,355.435352,23.916467788491435,0
1969,105101A,1084.640576,63.882106,10.824586875631766,0
1970,105101A,1285.350958,139.277615,15.661879631991335,0
1971,105101A,1781.222147,444.630658,26.396742766787522,2
1972,105101A,1800.567805,612.467313,30.357198413160283,0
1973,105101A,2133.924275,353.962038,23.87253908215741,0
1974,105101A,1847.777687,854.090402,35.04798779295115,0
1975,105101A,1797.468901,174.300666,17.36309733538633,1
1976,105101A,1844.6946189999999,518.142213,28.22521274683539,0
1977,105101A,1922.727997,734.879724,32.84948816093019,0
1978,105101A,1261.961768,105.104743,13.73499581358891,0
1979,105101A,2157.356813,594.157603,29.959546628432125,0
1980,105101A,1218.951494,247.794919,20.363281136661183,0
1981,105101A,1772.294298,472.284791,27.104362393313142,0
1982,105101A,1216.683752,120.47717899999999,14.641785137051228,0
1983,105101A,1197.128608,23.456215,6.505475694234101,0
1984,105101A,1446.939036,113.014957,14.210750976380396,0
1985,105101A,1618.814064,212.247512,18.990015765177443,0
1986,105101A,1221.140963,137.16593,15.551548967842661,0
1987,105101A,1327.277373,NA,NA,78
1988,105101A,1122.110225,41.578253,8.750914727191002,1
1989,105101A,1543.576946,188.478127,17.993510470869552,0
1990,105101A,1361.557956,181.841761,17.702062969378158,0
1991,105101A,1300.878802,344.744979,23.595213797969816,0
1992,105101A,1278.901338,169.370957,17.13677345520551,0
1993,105101A,1191.87007,367.766507,24.27995176256543,2
1994,105101A,884.437728,39.008593,8.47316996090282,0
1995,105101A,1314.108086,117.688469,14.48260711396419,0
1996,105101A,1866.47868,285.014907,21.68052014851506,0
1997,105101A,1544.479292,363.746888,24.162275493229114,0
1998,105101A,1540.190533,332.64794,23.22444038668986,0
1999,105101A,2100.612505,474.151649,27.15123040915248,0
2000,105101A,1854.709267,463.31609,26.877644893174555,0
2001,105101A,1292.009583,343.764673,23.56545919052519,0
2002,105101A,769.341237,44.729754,9.078190211506598,2
2003,105101A,904.652351,8.372488,3.6283270829244483,0
2004,105101A,1887.426418,516.481181,28.185671282091448,0
2005,105101A,983.336829,59.732918,10.475585064440919,0
2006,105101A,1896.032189,512.11154,28.08128657658041,0
2007,105101A,1358.995003,219.93797,19.298093290398413,0
2008,105101A,1659.070189,429.719719,26.004260854643157,0
2009,105101A,1308.256386,273.820976,21.295731440703417,0
2010,105101A,2220.687024,419.969378,25.743203028356405,0
2011,105101A,1998.204302,665.82397,31.47703360037978,0
2012,105101A,1389.496537,108.770064,13.957990811622082,0
2013,105101A,1563.135297,253.589383,20.575753461819748,0
2014,105101A,1752.446259,394.348978,25.039518528179336,0
2015,105101A,1644.678739,207.406523,18.792666593849113,0
2016,105101A,961.496116,163.36629200000002,16.855742626811395,0
2017,105101A,1540.51472,279.111334,21.47873172268534,0
2018,105101A,2012.246767,397.49901900000003,25.127479556054695,0
2019,105101A,1700.497815,941.6173,36.547671188288845,0
2020,105101A,1151.904654,174.227326,17.359758364221946,0
2021,105101A,1428.837458,312.543975,22.590035321925622,1
2022,105101A,1689.618803,NA,NA,31
1950,105102A,1400.113125,NA,NA,365
1951,105102A,671.650349,NA,NA,365
1952,105102A,791.754361,NA,NA,366
1953,105102A,1004.302967,NA,NA,365
1954,105102A,959.934756,NA,NA,365
1955,105102A,1320.728989,NA,NA,365
1956,105102A,1496.945174,NA,NA,366
1957,105102A,1228.029545,NA,NA,365
1958,105102A,933.719847,NA,NA,365
1959,105102A,1004.691095,NA,NA,365
1960,105102A,865.891911,NA,NA,366
1961,105102A,663.334479,NA,NA,365
1962,105102A,1057.519179,NA,NA,365
1963,105102A,1448.423194,NA,NA,365
1964,105102A,1438.057078,NA,NA,366
1965,105102A,798.815002,NA,NA,365
1966,105102A,481.87161,NA,NA,365
1967,105102A,1130.116766,NA,NA,365
1968,105102A,1026.071524,NA,NA,88
1969,105102A,765.594534,834.873305,17.809521663569242,0
1970,105102A,1016.148647,79.09752,8.049302718083759,0
1971,105102A,1403.908688,346.272154,13.460877029795064,0
1972,105102A,1308.119731,491.944166,15.07976883290667,0
1973,105102A,1443.259922,210.434698,11.400720890817585,2
1974,105102A,1603.648071,877.542005,18.086270394640163,1
