year,gauge,p_mm,standardised_warm_to_cool_season_rainfall_ratio,bc_q,standardised_warm_season_to_annual_rainfall_ratio,q_mm,q_na_count,CO2,drought,included_in_calibration
1959,102101A,1676.14868305,-0.5256872320693766,NA,0.02595014411126917,NA,365,35.98000000000002,FALSE,FALSE
1960,102101A,1686.16739044,-0.6582564329146603,NA,0.021453975436285577,NA,366,36.910000000000025,FALSE,FALSE
1961,102101A,790.72988564,0.5223748821859093,NA,0.055083623129667414,NA,365,37.639999999999986,FALSE,FALSE
1962,102101A,1302.21884571,1.783676996410314,NA,0.07977209264217955,NA,365,38.44999999999999,FALSE,FALSE
1963,102101A,1324.60660572,-2.0464336321083634,NA,-0.043634761865322336,NA,365,38.99000000000001,FALSE,FALSE
1964,102101A,1784.06595873,-1.1352442440516386,NA,0.003258881143019088,NA,366,39.620000000000005,FALSE,FALSE
1965,102101A,1684.50656072,2.776379139654053,NA,0.09422535677932231,NA,365,40.04000000000002,FALSE,FALSE
1966,102101A,1017.57782902,-0.23842181016064323,NA,0.03498574276453659,NA,365,41.370000000000005,FALSE,FALSE
1967,102101A,1378.50397175,1.7221802830936497,NA,0.07875485233930746,NA,274,42.18000000000001,FALSE,FALSE
1968,102101A,1199.48046184,-1.5783266482810197,160.64856617861432,-0.01714210039193731,461.63142831,0,43.05000000000001,FALSE,TRUE
1969,102101A,1220.2694694,2.3879761348691133,161.26036996110815,0.08897671554554043,463.8377378,0,44.620000000000005,FALSE,TRUE
1970,102101A,1350.77528858,7.725217230012659,180.8583731522971,0.13513777161979024,535.64276105,1,45.68000000000001,FALSE,TRUE
1971,102101A,1411.86069407,-2.597016291521864,404.909788259832,-0.08406214272803225,1476.60726176,4,46.31999999999999,FALSE,TRUE
1972,102101A,1579.72928332,-3.3660735168112517,244.89088369601097,-0.1685849931378245,783.95738559,0,47.45999999999998,FALSE,TRUE
1973,102101A,2383.87510348,-0.38293153816707015,415.6965837038844,0.03055541873594858,1526.35577442,0,49.68000000000001,FALSE,TRUE
1974,102101A,1239.3199543,1.9439726153291215,360.5272185049299,0.08234978178706298,1275.65419251,0,50.19,FALSE,TRUE
1975,102101A,2115.81764567,-2.4819874843590783,403.15235025739514,-0.07457689205386642,1468.53476626,1,51.129999999999995,FALSE,TRUE
1976,102101A,1642.09912111,-1.5616181416174468,360.85985988021724,-0.01629925179123448,1277.13714485,0,52.02999999999997,FALSE,TRUE
1977,102101A,1916.21367383,-3.1758313775266225,342.7998557634824,-0.14342501173721367,1197.15103695,0,53.839999999999975,FALSE,TRUE
1978,102101A,1270.30734581,-2.77243938001707,152.56742008901995,-0.09982028259105546,432.69789247,0,55.410000000000025,FALSE,TRUE
1979,102101A,1677.48157142,-2.690183546336629,378.21533480964325,-0.09222470149750883,1355.00349576,0,56.839999999999975,FALSE,TRUE
1980,102101A,1372.64443471,0.5805257846787333,211.21725835280182,0.05642926079054722,650.91473977,0,58.75999999999999,FALSE,TRUE
1981,102101A,1626.55736547,1.2361702880025698,181.42490517520181,0.07010918169995561,537.7501160099999,0,60.120000000000005,FALSE,TRUE
1982,102101A,1765.9545941000001,-2.7026051314448702,344.39311391755297,-0.09334759380187385,1204.16372604,0,61.48000000000002,FALSE,TRUE
1983,102101A,1186.48180255,-3.6540627711491793,65.78399529243886,-0.21436318632844698,151.43709337,0,63.14999999999998,FALSE,TRUE
